move_id,name_eng,name_jp_kana
???,G-Max Vine Lash,キョダイベンタツ
???,G-Max Wildfire,キョダイゴクエン
???,G-Max Cannonade,キョダイホウゲキ
???,G-Max Befuddle,キョダイコワク
???,G-Max Volt Crash,キョダイバンライ
???,G-Max Gold Rush,キョダイコバン
???,G-Max Chi Strike,キョダイシンゲキ
???,G-Max Terror,キョダイゲンエイ
???,G-Max Foam Burst,キョダイホウマツ
???,G-Max Resonance,キョダイセンリツ
???,G-Max Cuddle,キョダイホーヨー
???,G-Max Replenish,キョダイサイセイ
???,G-Max Malodor,キョダイシュウキ
???,G-Max Meltdown,キョダイユウゲキ
???,G-Max Drum Solo,キョダイコランダ
???,G-Max Fireball,キョダイカキュウ
???,G-Max Hydrosnipe,キョダイソゲキ
???,G-Max Wind Rage,キョダイフウゲキ
???,G-Max Gravitas,キョダイテンドウ
???,G-Max Stonesurge,キョダイガンジン
???,G-Max Volcalith,キョダイフンセキ
???,G-Max Tartness,キョダイサンゲキ
???,G-Max Sweetness,キョダイカンロ
???,G-Max Sandblast,キョダイサジン
???,G-Max Stun Shock,キョダイカンデン
???,G-Max Centiferno,キョダイヒャッカ
???,G-Max Smite,キョダイテンバツ
???,G-Max Snooze,キョダイスイマ
???,G-Max Finale,キョダイダンエン
???,G-Max Steelsurge,キョダイコウジン
???,G-Max Depletion,キョダイゲンスイ
???,G-Max One Blow,キョダイイチゲキ
???,G-Max Rapid Flow,キョダイレンゲキ
